traits	h2	h2_z
401.1	0.129546184	18.50536277
244.5	0.078812933	8.046390448
318	0.063713586	7.479631027
735.3	0.056246611	7.044886231
411.4	0.055662269	9.826918841
427.2	0.053025094	6.187477697
454.1	0.048069112	6.54558978
278.1	0.046134813	10.25204691
250.2	0.042168567	6.886497471
550.1	0.040715756	6.141851356
530.11	0.033392265	8.35402413
296.22	0.028922815	7.822754609
519.8	0.028773938	7.697729705
562.1	0.026131499	6.993619696
763	0.022009253	5.761250164
PASS_AtrialFibrillation_Nielsen2018	0.0218	16.76923
PASS_IBD_deLange2017	0.3206	13.19342
PASS_IschemicStroke_Malik2018	0.0167	8.35
PASS_MDD_Howard2019	0.0794	24.06061
PASS_Neuroticism_Nagel2018	0.104	27.36842
PASS_ProstateCancer	0.1305	7.01613
PASS_AnorexiaNervosa_Watson2019	0.1733	10.19412
PASS_Glaucoma_Craig2020	0.0705	15
PASS_Myopia_Hysi2020	0.292	21.95489
PASS_BIP_Mullins2021	0.0707	22.80645
GBMI_Asthma	0.03	18.75
GBMI_HeartFailure	0.0105	13.125
PASS_AlzheimersDisease_Wightman2021	0.007	8.75
PASS_ADHD_Demontis2023	0.0941	17.42593
PASS_CancerEsophageal_Gharahkhani2016	0.2492	6.32487
PASS_CancerLung_McKay2017	0.0788	7.16364
PASS_CoronaryArteryDisease_Aragam2022	0.0339	16.14286
PASS_Endometriosis_Rahmioglu2023	0.0199	8.65217
PASS_GastrointestinalDisease_Donertas2021	0.0258	14.33333
PASS_Insomnia_Watanabe2022	0.0276	16.23529
PASS_KneeAndOrHipOsteoarthritis_Boer2021	0.0467	22.2381
PASS_MetabolicSyndrome_VanWalree2022	0.1361	25.67925
PASS_MultipleSclerosis_IMSGC2019	0.164	15.04587
PASS_Parkinson_Nalls2019	0.0153	8.05263
PASS_RheumatoidArthritis_Saevarsdottir2022	0.0132	12
PASS_Schizophrenia_Trubetskoy2022	0.8208	28.30345
PASS_ThumbOsteoarthritis_Boer2021	0.0188	6.26667
PASS_Type1Diabetes_Chiou2021	0.0397	7.49057
PASS_Type2Diabetes_Xue2018	0.0583	13.25
PASS_VaricoseVeins_Ahmed2022	0.0634	9.05714
